ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
6.7031,-5.402,7.371,0.1682,-2.9674,2.8472,14,2022-10-15 11:02:26:536
5.3261,-8.342,2.271,0.1479,-0.3586,0.1852,513,2022-10-15 11:02:27:035
4.859,-8.5001,1.131,0.0595,-0.1199,0.0221,1013,2022-10-15 11:02:27:535
5.118,-8.605,1.7561,-0.1364,-0.2584,0.0392,1514,2022-10-15 11:02:28:036
5.2541,-8.761,0.222,-0.063,-0.0965,0.0616,2014,2022-10-15 11:02:28:536
5.7071,-8.11,1.127,-0.0736,0.1645,0.036,2514,2022-10-15 11:02:29:036
5.582,-8.514,1.007,-0.0352,-0.0358,0.0286,3013,2022-10-15 11:02:29:535
5.559,-8.708,0.911,0.099,-0.237,0.1139,3513,2022-10-15 11:02:30:035
5.408,-8.399,1.0811,-0.3048,0.3498,-0.1206,4013,2022-10-15 11:02:30:535
5.432,-8.253,1.0601,-0.0576,0.0697,0.067,4513,2022-10-15 11:02:31:035
5.621,-8.088,0.945,-0.0587,0.0793,-0.0151,5013,2022-10-15 11:02:31:535
5.82,-8.0089,1.4981,-0.1748,0.3062,-0.0609,5513,2022-10-15 11:02:32:035
5.9111,-7.7599,1.182,0.018,-0.0932,-0.0544,6013,2022-10-15 11:02:32:535
5.925,-7.755,0.5621,-0.0843,0.1678,-0.0811,6513,2022-10-15 11:02:33:035
6.0971,-7.643,0.6791,0.2065,-0.1742,0.0041,7013,2022-10-15 11:02:33:535
5.963,-7.5851,1.031,-0.1503,0.1229,-0.0109,7513,2022-10-15 11:02:34:035
6.504,-7.3961,0.614,-0.065,-0.0858,-0.0854,8013,2022-10-15 11:02:34:535
5.858,-7.659,0.789,-0.1748,0.2434,-0.1291,8513,2022-10-15 11:02:35:035
6.2291,-7.549,0.2741,-0.2654,0.1431,-0.1376,9014,2022-10-15 11:02:35:536
6.047,-7.7599,0.495,-0.0309,-0.0102,-0.0333,9513,2022-10-15 11:02:36:035
6.1451,-6.671,0.5591,0.1118,-0.1167,0.0903,10014,2022-10-15 11:02:36:536
6.023,-7.604,0.5711,-1.0E-4,0.0197,-0.0162,10514,2022-10-15 11:02:37:036
6.191,-7.5799,0.4541,-0.0139,0.0239,-0.0151,11014,2022-10-15 11:02:37:536
6.3701,-7.4801,0.308,0.0286,-0.0613,-0.0236,11513,2022-10-15 11:02:38:035
6.119,-7.6279,0.6911,-0.015,0.0186,0.0307,12013,2022-10-15 11:02:38:535
6.183,-7.662,0.677,0.0041,0.0367,0.0157,12513,2022-10-15 11:02:39:035
5.927,-7.602,0.4901,0.0084,-0.0113,0.0967,13013,2022-10-15 11:02:39:535
6.239,-7.5559,0.5591,0.0564,-0.0645,-0.0225,13513,2022-10-15 11:02:40:035
6.26,-7.5611,0.6,0.0095,-0.0582,0.0083,14013,2022-10-15 11:02:40:535
6.2861,-7.53,0.356,0.0755,-0.04,0.0051,14513,2022-10-15 11:02:41:035
6.212,-7.542,0.8471,-0.0885,0.0538,0.0264,15014,2022-10-15 11:02:41:536
6.248,-7.446,0.545,0.018,-0.0124,-0.0088,15513,2022-10-15 11:02:42:035
6.332,-7.511,0.5981,-0.0214,0.0197,0.0125,16013,2022-10-15 11:02:42:535
5.8241,-7.609,0.569,-0.0843,0.1166,-0.0151,16514,2022-10-15 11:02:43:036
