ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
6.306,-7.4561,0.734,0.001,0.0111,0.0157,17013,2022-10-15 11:02:43:535
6.3221,-7.5011,0.6431,0.0254,-0.0124,0.0019,17513,2022-10-15 11:02:44:035
6.495,-7.461,0.686,0.0223,0.0047,-0.0429,18013,2022-10-15 11:02:44:535
6.32,-7.509,0.7031,0.0478,-0.0241,-0.0205,18514,2022-10-15 11:02:45:036
6.3731,-7.3699,0.5471,0.066,-0.0763,0.0296,19014,2022-10-15 11:02:45:536
6.188,-7.506,0.638,0.0021,-0.0048,-0.0012,19514,2022-10-15 11:02:46:036
6.3371,-7.449,0.4301,0.0542,-0.0155,-0.0034,20014,2022-10-15 11:02:46:536
6.329,-7.454,0.404,0.0191,-5.0E-4,0.003,20513,2022-10-15 11:02:47:035
6.282,-7.5281,0.765,0.0106,0.01,-0.0151,21013,2022-10-15 11:02:47:535
6.294,-7.5401,0.4421,-0.015,-0.023,0.0307,21513,2022-10-15 11:02:48:035
6.32,-7.4081,0.7751,0.0106,-0.0432,-0.014,22014,2022-10-15 11:02:48:536
6.485,-7.434,0.4061,-0.0192,0.0175,0.004,22514,2022-10-15 11:02:49:036
6.2891,-7.41,0.3491,-0.0246,0.0239,8.0E-4,23014,2022-10-15 11:02:49:536
6.3251,-7.372,0.4631,0.0265,-0.0432,-0.0205,23513,2022-10-15 11:02:50:035
6.3821,-7.3631,0.4901,0.0095,-0.0144,-0.0109,24014,2022-10-15 11:02:50:536
6.71,-7.339,0.629,0.0329,-0.0315,0.0403,24513,2022-10-15 11:02:51:035
6.488,-7.355,0.614,0.0191,-0.0337,-0.0129,25014,2022-10-15 11:02:51:536
6.588,-7.4419,0.8441,-0.0885,0.0122,0.0221,25514,2022-10-15 11:02:52:036
6.5351,-7.439,0.693,-0.0214,0.0143,0.0136,26014,2022-10-15 11:02:52:536
6.6341,-7.327,0.65,-0.0076,-0.0027,0.003,26514,2022-10-15 11:02:53:036
6.2861,-7.42,0.284,0.0149,0.0612,0.0051,27013,2022-10-15 11:02:53:535
6.143,-7.3909,0.7991,0.0095,-0.0252,-0.0652,27513,2022-10-15 11:02:54:035
6.48,-7.394,0.564,-0.015,0.0623,-0.047,28013,2022-10-15 11:02:54:535
6.545,-7.5401,0.7151,-0.0267,-0.0144,-0.0055,28513,2022-10-15 11:02:55:035
6.4661,-7.398,0.2981,0.0947,-0.0454,-0.0214,29013,2022-10-15 11:02:55:535
6.6221,-7.308,0.7391,0.0436,-0.0773,0.0168,29513,2022-10-15 11:02:56:035
6.507,-7.3309,0.7511,0.0308,0.0282,-0.0076,30013,2022-10-15 11:02:56:535
6.282,-7.3699,0.636,-0.0022,0.0399,-0.0151,30514,2022-10-15 11:02:57:036
6.3341,-7.439,0.6551,0.0212,-0.038,-0.014,31013,2022-10-15 11:02:57:535
6.3221,-7.427,0.794,-0.0012,-0.0016,-0.0183,31513,2022-10-15 11:02:58:035
6.3251,-7.446,0.612,0.0127,-0.0081,0.0041,32014,2022-10-15 11:02:58:536
6.236,-7.3751,0.734,0.0095,-0.0496,0.001,32514,2022-10-15 11:02:59:036
6.2771,-7.444,0.779,-0.0417,0.0122,-0.0098,33014,2022-10-15 11:02:59:536
6.255,-7.47,0.602,-0.0183,0.0282,0.0073,33513,2022-10-15 11:03:00:035
6.071,-7.5011,0.32,-0.0012,0.0122,-0.03,34014,2022-10-15 11:03:00:536
6.363,-7.506,0.744,-0.0448,0.0069,0.0136,34513,2022-10-15 11:03:01:035
6.308,-7.576,0.686,-0.0385,-0.0144,0.0116,35013,2022-10-15 11:03:01:535
6.327,-7.489,0.791,-0.0161,-0.0144,0.0073,35513,2022-10-15 11:03:02:035
6.329,-7.516,0.753,-0.0022,0.0206,-0.0012,36013,2022-10-15 11:03:02:535
6.327,-7.432,0.602,0.0308,-0.0432,-0.0087,36514,2022-10-15 11:03:03:036
6.356,-7.4419,0.9281,-0.0214,0.0217,0.0307,37013,2022-10-15 11:03:03:535
6.435,-7.4149,0.89,-0.0022,0.0441,0.0127,37513,2022-10-15 11:03:04:035
6.114,-7.525,0.6,0.0084,0.0089,-0.0023,38013,2022-10-15 11:03:04:535
6.2501,-7.4561,0.4181,0.0627,-0.0432,0.001,38513,2022-10-15 11:03:05:035
6.179,-7.485,0.5861,-0.0385,0.0271,0.0094,39013,2022-10-15 11:03:05:535
6.2861,-7.578,0.468,-0.0448,0.0601,-0.0076,39513,2022-10-15 11:03:06:035
6.186,-7.506,0.653,-0.014,0.0441,0.0232,40013,2022-10-15 11:03:06:535
6.2771,-7.482,0.566,0.0223,-0.0241,0.001,40513,2022-10-15 11:03:07:035
6.3971,-7.5229,0.734,-0.0076,-0.0198,-0.0087,41013,2022-10-15 11:03:07:535
6.42,-7.511,0.918,0.0149,-0.0389,0.0286,41514,2022-10-15 11:03:08:036
6.198,-7.518,0.722,0.0063,0.0186,-0.0087,42013,2022-10-15 11:03:08:535
7.563,-6.999,1.898,-0.6212,0.8942,-1.1411,42513,2022-10-15 11:03:09:035
3.507,-2.49,9.564,1.6446,1.6441,-0.2324,43014,2022-10-15 11:03:09:536
2.982,1.299,8.288,1.2473,0.8207,-0.9941,43513,2022-10-15 11:03:10:035
-5.997,3.99,7.4861,0.0191,0.6386,0.0499,44013,2022-10-15 11:03:10:535
