ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
4.1561,-8.629,1.881,-0.1024,0.2314,-0.0286,31516,2022-10-15 14:59:32:576
3.7841,-9.024,0.902,0.2481,-0.5389,0.0769,32016,2022-10-15 14:59:33:076
3.9521,-8.869,1.8761,-0.03,0.1462,0.0428,32516,2022-10-15 14:59:33:576
3.576,-8.081,2.3171,-0.0726,-0.2533,-0.0968,33016,2022-10-15 14:59:34:076
3.8321,-8.852,1.8311,-0.078,-0.0115,-0.0307,33516,2022-10-15 14:59:34:576
4.517,-8.682,1.565,0.0052,-0.0829,-0.0158,34016,2022-10-15 14:59:35:076
4.3091,-8.694,1.412,-0.0098,-0.0084,-0.0062,34516,2022-10-15 14:59:35:576
4.287,-8.739,1.4831,-0.0055,1.0E-4,-0.0052,35016,2022-10-15 14:59:36:076
4.448,-8.691,1.529,-0.0098,0.0268,-0.003,35516,2022-10-15 14:59:36:576
4.419,-8.651,1.512,-0.0203,-8.0E-4,0.0012,36016,2022-10-15 14:59:37:076
4.376,-8.6389,1.4861,-0.0502,0.0375,-0.0052,36516,2022-10-15 14:59:37:576
4.484,-8.593,1.862,0.0254,-0.0627,-0.0168,37017,2022-10-15 14:59:38:077
4.668,-8.552,1.56,-0.0107,0.0353,0.0129,37516,2022-10-15 14:59:38:576
4.256,-8.754,1.6871,-0.1332,0.2431,-0.0659,38016,2022-10-15 14:59:39:076
3.416,-9.23,2.4311,0.1363,-0.2544,-0.0957,38516,2022-10-15 14:59:39:576
3.557,-9.015,0.8081,-0.0704,1.0058,-0.0903,39016,2022-10-15 14:59:40:076
3.6821,-8.5211,1.1171,-0.3847,0.9738,0.0151,39516,2022-10-15 14:59:40:576
5.003,-9.525,0.9161,0.2395,0.0982,-0.6912,40016,2022-10-15 14:59:41:076
8.0201,-6.5801,-4.152,-0.7022,0.2218,0.2399,40516,2022-10-15 14:59:41:576
4.61,0.092,3.813,-0.8513,2.9946,-0.1628,41016,2022-10-15 14:59:42:076
0.6911,2.69,7.692,0.4195,2.167,1.0942,41516,2022-10-15 14:59:42:576
